n,avl,splay,treap,rb
0,0,0,0,1
100000,7,12,13,12
200000,8,11,11,8
300000,10,13,13,9
400000,17,23,23,16
500000,17,23,23,19
600000,17,24,24,19
700000,18,26,26,19
800000,17,26,26,20
900000,17,29,26,21
1000000,18,30,29,20
1100000,18,30,27,21
1200000,18,34,29,21
1300000,19,35,29,22
1400000,20,32,29,22
1500000,18,33,31,22
1600000,20,35,29,22
1700000,15,25,20,15
1800000,21,36,31,23
1900000,14,29,26,16
2000000,20,38,30,24
2100000,17,46,38,27
2200000,21,45,41,27
2300000,22,30,33,29
2400000,21,38,34,23
2500000,14,26,21,16
2600000,22,40,32,25
2700000,16,34,25,17
2800000,21,42,40,23
2900000,15,28,21,16
